Rank,Configuration,Chunking,Retriever,k,Precision,Recall,Faithfulness,Relevancy,Time (s),Average,Score_per_Second
🥇 1,Semantic + Ensemble (Vector+BM25+MultiQuery),semantic,ensemble,10,0.5456612445748794,0.32666666666666666,0.9473684210526315,0.3770637349540781,136.89016389846802,0.5491900168120639,0.004011902690242963
🥈 2,Naive + Ensemble (Vector+BM25+MultiQuery),naive,ensemble,10,0.6321466990920087,0.25166666666666665,0.8655555555555555,0.37791891133448485,147.44487404823303,0.5318219581621789,0.003606920631151994
🥉 3,Semantic + Cohere Reranking,semantic,contextual_compression_cohere,10,0.6308289241509348,0.26,0.8144444444444444,0.3795272263290901,85.27577090263367,0.5212001487311173,0.006111937109618325
4,Naive + Multi-Query,naive,multiquery,10,0.5755121674781372,0.21833333333333332,0.8671497584541064,0.28866888393687284,117.35227108001709,0.48741603580061243,0.004153443570497805
5,Naive + Cohere Reranking,naive,contextual_compression_cohere,10,0.6676615646082249,0.21833333333333332,0.7722222222222223,0.28696825878237586,79.77191019058228,0.48629634473653904,0.00609608499501558
6,Naive + Vector Similarity,naive,naive,10,0.6040432098668506,0.135,0.8746625923096512,0.2868100320578084,84.05716729164124,0.4751289585585775,0.005652450277203488
7,Semantic + Multi-Query,semantic,multiquery,10,0.5860250355631396,0.14333333333333334,0.8535650623885918,0.2868100320578084,106.33274292945862,0.46743336583571826,0.00439594947857044
8,Naive + BM25 Keyword,naive,bm25,10,0.5554642227159439,0.21000000000000002,0.91875,0.1838682904201539,67.74601292610168,0.4670206282840244,0.0068936990992142545
9,Semantic + BM25 Keyword,semantic,bm25,10,0.5535109599290776,0.16,0.9125,0.1893620711639909,67.03010106086731,0.4538432577732671,0.006770738080211911
10,Semantic + Vector Similarity,semantic,naive,10,0.6222921075738816,0.11000000000000001,0.7912280701754386,0.2886688839368729,76.26405692100525,0.4530472654215483,0.005940508330035697
